Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,near_ISU,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,floors,bathrooms
109,533352170,60,7,69.05520046484602,13517,2,0,1,3,2,2,3,8,4,6,6,8,1976,2005,5,4,12,10,2,289.0,4,3,4,3,3,4,6,533.0,5,0.0,192.0,725.0,4,5,1,4,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,0,6,1976.0,2,2.0,475.0,3,3,2,0,44,0,0,0,0,0,4,4,0,3,2010,8,130500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3.0
544,531379050,60,7,43.0,11492,2,0,1,3,2,2,8,8,4,6,7,5,1996,1997,5,4,14,14,2,132.0,4,3,5,4,3,4,6,637.0,5,0.0,276.0,913.0,4,5,1,4,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,3,6,1997.0,2,2.0,559.0,3,3,2,0,74,0,0,0,0,0,4,4,0,4,2009,8,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4.0
153,535304180,20,7,68.0,7922,2,0,0,3,4,2,8,8,4,7,5,7,1953,2007,5,4,14,14,3,0.0,3,4,4,3,3,4,6,731.0,5,0.0,326.0,1057.0,4,3,1,4,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0,5,1953.0,3,1.0,246.0,3,3,2,0,52,0,0,0,0,0,4,4,0,1,2010,8,109000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0
318,916386060,60,7,73.0,9802,2,0,0,3,4,2,8,8,4,6,5,5,2006,2007,5,4,14,14,3,0.0,3,3,5,4,3,4,5,0.0,5,0.0,384.0,384.0,4,4,1,4,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,0,4,2007.0,1,2.0,400.0,3,3,2,100,0,0,0,0,0,0,4,4,0,4,2010,8,174000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3.0
255,906425045,50,7,82.0,14235,2,0,1,3,4,2,8,8,4,5,6,8,1900,1993,5,4,11,10,3,0.0,3,3,5,2,4,4,5,0.0,5,0.0,676.0,676.0,4,3,1,4,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,0,5,1957.0,3,2.0,484.0,3,3,1,0,59,0,0,0,0,0,4,4,0,3,2010,8,138500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2.0
138,535126040,20,7,137.0,16492,2,0,1,3,3,2,2,8,4,7,6,6,1966,2002,5,4,8,10,3,0.0,4,3,4,3,3,4,4,247.0,2,713.0,557.0,1517.0,4,5,1,4,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,4,6,1966.0,1,2.0,578.0,3,3,2,0,0,0,0,0,0,0,4,4,0,6,2010,8,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
2827,908186070,180,6,35.0,3675,2,0,0,3,4,2,8,8,3,3,6,5,2005,2006,5,4,14,14,2,82.0,3,3,5,4,3,2,6,547.0,5,0.0,0.0,547.0,4,4,1,4,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,0,2,2005.0,1,2.0,525.0,3,3,2,0,44,0,0,0,0,0,4,4,0,6,2006,7,140000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
145,535154050,20,7,69.05520046484602,12160,2,0,1,3,4,2,8,8,4,7,5,5,1959,1959,4,4,10,10,2,180.0,3,3,4,3,3,4,2,1000.0,5,0.0,188.0,1188.0,4,2,1,4,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,0,6,1959.0,2,2.0,531.0,3,3,2,0,0,0,0,0,0,0,3,4,0,5,2010,6,142000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0
1942,535353130,20,7,69.05520046484602,15783,2,0,0,3,4,2,6,8,4,7,5,5,1952,1952,5,4,11,11,3,0.0,3,3,4,3,3,4,2,292.0,5,0.0,632.0,924.0,4,3,1,4,924,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,0,5,1952.0,3,1.0,420.0,3,3,2,0,324,0,0,0,0,0,3,3,400,6,2007,8,112500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
1956,535426130,60,7,70.0,11606,2,0,1,2,4,0,8,8,4,6,5,5,1969,1969,5,4,10,10,2,192.0,3,3,5,4,3,3,2,650.0,5,0.0,390.0,1040.0,4,3,1,4,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,3,6,1969.0,3,2.0,504.0,3,3,2,335,0,0,0,0,0,0,4,4,0,9,2007,8,135000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4.0
1044,527451290,160,6,21.0,1680,2,0,0,3,4,2,8,8,1,6,6,5,1971,1971,5,4,12,12,2,232.0,3,3,4,3,3,4,4,387.0,5,0.0,96.0,483.0,4,3,1,4,483,504,0,987,0.0,0.0,1,1,2,1,3,4,7,0,0,5,1971.0,3,1.0,264.0,3,3,2,0,0,0,0,0,0,0,4,4,0,7,2008,6,85400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0
2752,906380150,20,7,64.0,7488,2,0,1,3,4,2,8,8,4,7,7,5,2005,2005,5,4,14,14,3,0.0,4,3,5,4,3,3,6,393.0,5,0.0,815.0,1208.0,4,5,1,4,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,7,0,0,6,2005.0,2,2.0,632.0,3,3,2,105,58,0,0,0,0,0,4,4,0,2,2006,8,183600,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0
807,906226060,70,7,120.0,26400,2,0,0,1,1,2,7,8,4,6,5,7,1880,2007,5,4,12,12,3,0.0,4,3,5,0,0,0,0,0.0,0,0.0,0.0,0.0,4,5,1,4,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,4,1,3,6,1900.0,3,2.0,576.0,3,3,0,0,0,0,0,0,0,0,4,4,0,6,2009,8,131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1.0
